culture,variete,priorite_1_a_5,besoin_hebdo_estime,unite,frequence_souhaitee,strategie,notes
Laitue,,5,3,portions,continue,succession,"Planter 2 a 4 emplacements toutes les 2 semaines"
Roquette,,4,1,portion,continue,succession,"Cycle court, bon complement salade"
Basilic,Classique,5,1,poignee,hebdomadaire,recolte_continue,"Garder 1 a 2 plants productifs"
Coriandre,Santo,4,1,poignee,hebdomadaire,succession,"Resemer souvent"
Kale / chou frise,Lacinato,4,2,portions,hebdomadaire,recolte_continue,"1 a 3 plants suffisent souvent"
Bette a carde,Rainbow Chard,3,1,portion,hebdomadaire,recolte_continue,"Tres productive"
Persil italien,Italian Flat Leaf,3,1,poignee,hebdomadaire,recolte_continue,"Aromate stable"
Concombre,,4,2,fruits,saisonnier,cycle_long,"Limiter selon espace disponible"
Tomate cerise,Sunrise Bumble Bee,4,1,poignee,saisonnier,cycle_long,"Demande support et lumiere"
Piment jalapeno,TAM,3,2,fruits,saisonnier,cycle_long,"1 plant peut suffire"
